income,age,childrenhome,wine_products,fruit_products,meat_products,fish_products,sweet_products,gold_products,total_products,deal_purchases,web_purchases,catalog_purchases,store_purchases,total_purchases,web_visits_permonth,marital_status_Single,education_Higher Education,Cluster
46344.0,70,2,11,1,6,2,1,6,27,2,1,1,2,4,5,True,False,0
71613.0,59,0,426,49,127,111,21,42,776,1,8,2,10,20,4,False,False,2
26646.0,40,1,11,4,20,10,3,5,53,2,2,0,4,6,6,False,False,0
58293.0,43,1,173,43,118,46,27,15,422,5,5,3,6,14,5,False,True,1
62513.0,57,1,520,42,98,0,42,14,716,2,6,4,10,20,6,False,True,1
55635.0,53,1,235,65,164,50,49,27,590,4,7,3,7,17,6,True,False,2
33454.0,39,1,76,10,56,3,1,23,169,2,4,0,4,8,8,False,True,0
52028.5,41,1,5,5,6,0,2,1,19,1,1,0,2,3,7,False,False,0
7500.0,48,0,6,16,11,11,1,16,61,1,2,0,3,5,8,False,False,0
59354.0,72,2,233,2,53,3,5,14,310,3,6,1,5,12,6,True,True,1
17323.0,37,0,3,14,17,6,1,5,46,1,1,0,3,4,8,False,False,0
82800.0,78,0,1006,22,115,59,68,45,1315,1,7,6,12,25,3,True,True,2
41850.0,44,2,53,5,19,2,13,4,96,3,3,0,3,6,8,False,False,0
37760.0,78,0,84,5,38,150,12,28,317,2,4,1,6,11,7,False,False,1
33812.0,39,1,4,17,19,30,24,39,133,2,2,1,3,6,6,True,True,0
37040.0,42,0,86,2,73,69,38,48,316,1,4,2,5,11,8,False,False,0
58607.0,75,1,867,0,86,0,0,19,972,3,2,3,9,14,8,False,True,1
65324.0,70,1,384,0,102,21,32,5,544,3,6,2,9,17,4,False,True,1
18589.0,55,0,6,4,25,15,12,13,75,2,2,1,3,6,7,True,False,0
53359.0,48,2,173,4,30,3,6,41,257,4,5,1,4,10,7,False,False,1
38360.0,35,1,36,2,42,20,21,10,131,2,2,1,4,7,3,False,False,0
10979.0,35,0,8,4,10,2,2,4,30,2,3,0,3,6,5,True,True,0
38620.0,61,0,112,17,44,34,22,89,318,1,2,5,3,10,3,False,True,1
40548.0,54,1,110,0,5,2,0,3,120,2,2,1,4,7,5,False,False,0
46610.0,72,2,96,12,96,33,22,43,302,6,4,1,6,11,6,True,True,1
68657.0,78,0,482,34,471,119,68,22,1196,1,3,5,9,17,7,False,True,2
49389.0,73,2,40,0,19,2,1,3,65,1,2,0,3,5,7,True,True,0
67353.0,54,1,702,17,151,0,8,35,913,5,5,6,12,23,2,False,True,1
23718.0,48,1,6,3,14,15,7,36,81,3,3,1,2,6,7,False,True,0
42429.0,51,1,55,0,6,2,0,4,67,2,1,1,3,5,5,True,False,0
48948.0,81,0,437,8,206,160,49,42,902,2,7,10,5,22,6,True,True,2
20559.0,39,1,13,1,29,3,0,7,53,2,2,0,3,5,8,False,True,0
21994.0,67,1,9,0,6,3,1,3,22,1,0,0,3,3,5,False,False,0
55212.0,65,0,81,11,50,3,2,39,186,1,1,3,4,8,2,True,True,0
7500.0,49,1,3,1,10,3,2,12,31,3,2,0,3,5,5,False,True,0
52028.5,73,3,48,5,48,6,10,7,124,3,2,1,4,7,6,True,False,0
72550.0,70,2,826,50,317,50,38,38,1319,9,5,2,12,19,8,False,True,1
65486.0,67,1,245,19,125,37,67,14,507,1,4,2,10,16,2,True,False,2
35790.0,47,1,12,6,20,30,1,3,72,2,2,0,3,5,7,True,False,0
27938.0,36,1,13,0,8,2,1,5,29,1,1,0,4,5,3,True,False,0
52028.5,42,1,11,3,22,2,2,6,46,2,2,0,3,5,6,True,False,0
55954.0,56,1,447,0,28,0,0,43,518,3,8,2,6,16,7,False,True,1
66653.0,49,2,452,18,102,16,18,6,612,4,4,2,12,18,3,False,False,1
67680.0,73,1,546,0,48,0,6,6,606,1,7,3,8,18,5,True,True,1
25721.0,53,1,1,3,6,3,6,15,34,1,1,1,2,4,7,False,False,0
32474.0,57,2,10,0,1,0,0,0,11,1,1,0,2,3,7,False,False,0
